id,question,choices,answer,A,B,C,D,answer_pred,correct
70,"Khi bị say nắng, say nóng, cần đưa nạn nhân vào nơi râm mát và làm gì tiếp theo?","{'A': 'Ủ ấm cho nạn nhân', 'B': 'Cho nạn nhân uống rượu hoặc cà phê', 'C': 'Nới lỏng quần áo, dùng khăn mát lau người hoặc quạt để làm mát cơ thể', 'D': 'Để nạn nhân nằm yên và không làm gì cả'}",C,Ủ ấm cho nạn nhân,Cho nạn nhân uống rượu hoặc cà phê,"Nới lỏng quần áo, dùng khăn mát lau người hoặc quạt để làm mát cơ thể",Để nạn nhân nằm yên và không làm gì cả,D,0
71,Việc ăn đa dạng các loại thực phẩm nhằm mục đích gì?,"{'A': 'Chỉ để bữa ăn thêm ngon miệng', 'B': 'Cung cấp đầy đủ các nhóm chất dinh dưỡng, vitamin và khoáng chất cần thiết cho cơ thể', 'C': 'Giúp tăng cân nhanh hơn', 'D': 'Không có ý nghĩa về mặt dinh dưỡng'}",B,Chỉ để bữa ăn thêm ngon miệng,"Cung cấp đầy đủ các nhóm chất dinh dưỡng, vitamin và khoáng chất cần thiết cho cơ thể",Giúp tăng cân nhanh hơn,Không có ý nghĩa về mặt dinh dưỡng,B,1
72,Bệnh trầm cảm là một rối loạn liên quan đến:,"{'A': 'Tim mạch', 'B': 'Hô hấp', 'C': 'Sức khỏe tinh thần', 'D': 'Tiêu hóa'}",C,Tim mạch,Hô hấp,Sức khỏe tinh thần,Tiêu hóa,C,1
73,Đâu là cách tốt nhất để bảo vệ da khỏi tác hại của ánh nắng mặt trời?,"{'A': 'Chỉ cần mặc áo dài tay', 'B': 'Sử dụng kem chống nắng có chỉ số SPF phù hợp, đội mũ rộng vành và đeo kính râm', 'C': 'Tránh ra ngoài trời hoàn toàn', 'D': 'Chỉ cần thoa kem chống nắng một lần vào buổi sáng'}",B,Chỉ cần mặc áo dài tay,"Sử dụng kem chống nắng có chỉ số SPF phù hợp, đội mũ rộng vành và đeo kính râm",Tránh ra ngoài trời hoàn toàn,Chỉ cần thoa kem chống nắng một lần vào buổi sáng,C,0
74,Bệnh viêm gan B chủ yếu lây truyền qua đường nào?,"{'A': 'Đường máu, đường tình dục và từ mẹ sang con', 'B': 'Đường hô hấp', 'C': 'Đường ăn uống', 'D': 'Côn trùng đốt'}",A,"Đường máu, đường tình dục và từ mẹ sang con",Đường hô hấp,Đường ăn uống,Côn trùng đốt,A,1
75,Tập các bài tập giãn cơ sau khi vận động có lợi ích gì?,"{'A': 'Giúp cơ bắp phục hồi nhanh hơn và giảm đau mỏi', 'B': 'Gây chấn thương cho cơ bắp', 'C': 'Làm giảm hiệu quả của buổi tập', 'D': 'Không có lợi ích nào'}",A,Giúp cơ bắp phục hồi nhanh hơn và giảm đau mỏi,Gây chấn thương cho cơ bắp,Làm giảm hiệu quả của buổi tập,Không có lợi ích nào,C,0
76,Cholesterol cao trong máu là một yếu tố nguy cơ chính của bệnh nào?,"{'A': 'Bệnh cúm', 'B': 'Bệnh xơ vữa động mạch và bệnh tim', 'C': 'Bệnh lao', 'D': 'Bệnh sởi'}",B,Bệnh cúm,Bệnh xơ vữa động mạch và bệnh tim,Bệnh lao,Bệnh sởi,B,1
77,"Để phòng ngừa ngộ độc thực phẩm, điều nào sau đây là quan trọng?","{'A': 'Không ăn thức ăn ôi thiu, có mùi lạ', 'B': 'Để riêng thực phẩm sống và chín', 'C': 'Rã đông thực phẩm đúng cách', 'D': 'Tất cả các đáp án trên'}",D,"Không ăn thức ăn ôi thiu, có mùi lạ",Để riêng thực phẩm sống và chín,Rã đông thực phẩm đúng cách,Tất cả các đáp án trên,C,0
78,Tác dụng của vắc-xin phòng uốn ván là gì?,"{'A': 'Phòng bệnh cúm', 'B': 'Phòng ngừa bệnh do vi khuẩn uốn ván gây ra, thường xâm nhập qua các vết thương hở', 'C': 'Phòng bệnh dại', 'D': 'Phòng bệnh thủy đậu'}",B,Phòng bệnh cúm,"Phòng ngừa bệnh do vi khuẩn uốn ván gây ra, thường xâm nhập qua các vết thương hở",Phòng bệnh dại,Phòng bệnh thủy đậu,B,1
79,Hoạt động nào sau đây giúp rèn luyện sức bền của cơ thể?,"{'A': 'Nâng tạ nặng trong thời gian ngắn', 'B': 'Chạy marathon', 'C': 'Chạy nước rút 100m', 'D': 'Nghỉ ngơi'}",B,Nâng tạ nặng trong thời gian ngắn,Chạy marathon,Chạy nước rút 100m,Nghỉ ngơi,A,0
80,Dấu hiệu nào cho thấy bạn cần đi khám nha sĩ?,"{'A': 'Đau răng', 'B': 'Chảy máu nướu khi đánh răng', 'C': 'Nướu sưng đỏ', 'D': 'Tất cả các đáp án trên'}",D,Đau răng,Chảy máu nướu khi đánh răng,Nướu sưng đỏ,Tất cả các đáp án trên,B,0
81,Chế độ ăn uống cân bằng là gì?,"{'A': 'Chỉ ăn rau củ và trái cây', 'B': 'Chỉ ăn thịt và các sản phẩm từ động vật', 'C': 'Ăn đủ và đa dạng các nhóm thực phẩm theo tỷ lệ hợp lý', 'D': 'Ăn thật nhiều vào một bữa và bỏ các bữa còn lại'}",C,Chỉ ăn rau củ và trái cây,Chỉ ăn thịt và các sản phẩm từ động vật,Ăn đủ và đa dạng các nhóm thực phẩm theo tỷ lệ hợp lý,Ăn thật nhiều vào một bữa và bỏ các bữa còn lại,B,0
82,Tình trạng 'mắt làm việc với máy tính' có thể gây ra triệu chứng gì?,"{'A': 'Mỏi mắt, khô mắt', 'B': 'Nhìn mờ', 'C': 'Đau đầu', 'D': 'Tất cả các đáp án trên'}",D,"Mỏi mắt, khô mắt",Nhìn mờ,Đau đầu,Tất cả các đáp án trên,D,1
83,"Để giảm mỏi mắt khi làm việc với máy tính, bạn nên áp dụng quy tắc nào?","{'A': 'Quy tắc 20-20-20 (Sau mỗi 20 phút, nhìn ra xa 20 feet (khoảng 6m) trong 20 giây)', 'B': 'Nhìn liên tục vào màn hình để không bị gián đoạn công việc', 'C': 'Tăng độ sáng màn hình lên mức tối đa', 'D': 'Ngồi càng gần màn hình càng tốt'}",A,"Quy tắc 20-20-20 (Sau mỗi 20 phút, nhìn ra xa 20 feet (khoảng 6m) trong 20 giây)",Nhìn liên tục vào màn hình để không bị gián đoạn công việc,Tăng độ sáng màn hình lên mức tối đa,Ngồi càng gần màn hình càng tốt,B,0
84,Virus HPV là nguyên nhân chính gây ra loại ung thư nào?,"{'A': 'Ung thư phổi', 'B': 'Ung thư gan', 'C': 'Ung thư cổ tử cung', 'D': 'Ung thư dạ dày'}",C,Ung thư phổi,Ung thư gan,Ung thư cổ tử cung,Ung thư dạ dày,A,0
85,Uống nước ngọt có ga thường xuyên có thể gây ra những vấn đề sức khỏe nào?,"{'A': 'Tăng nguy cơ béo phì và tiểu đường type 2', 'B': 'Gây hại cho răng', 'C': 'Có thể làm giảm mật độ xương', 'D': 'Tất cả các đáp án trên'}",D,Tăng nguy cơ béo phì và tiểu đường type 2,Gây hại cho răng,Có thể làm giảm mật độ xương,Tất cả các đáp án trên,C,0
86,"Dấu hiệu 'da vàng, mắt vàng' thường là triệu chứng của bệnh liên quan đến cơ quan nào?","{'A': 'Phổi', 'B': 'Tim', 'C': 'Gan', 'D': 'Thận'}",C,Phổi,Tim,Gan,Thận,A,0
87,Lợi ích của việc cười là gì?,"{'A': 'Giảm stress', 'B': 'Tăng cường hệ miễn dịch', 'C': 'Giảm đau', 'D': 'Tất cả các đáp án trên'}",D,Giảm stress,Tăng cường hệ miễn dịch,Giảm đau,Tất cả các đáp án trên,B,0
88,"Để phòng tránh các bệnh về cột sống, bạn nên chú ý điều gì khi mang vác vật nặng?","{'A': 'Cúi gập lưng để nhấc vật lên', 'B': 'Giữ lưng thẳng, khuỵu gối để nâng vật lên bằng sức của chân', 'C': 'Vặn xoắn người khi đang nâng vật nặng', 'D': 'Cố gắng nâng vật càng xa cơ thể càng tốt'}",B,Cúi gập lưng để nhấc vật lên,"Giữ lưng thẳng, khuỵu gối để nâng vật lên bằng sức của chân",Vặn xoắn người khi đang nâng vật nặng,Cố gắng nâng vật càng xa cơ thể càng tốt,C,0
89,Dị ứng là phản ứng của hệ miễn dịch đối với:,"{'A': 'Một chất lạ thường vô hại đối với hầu hết mọi người (dị nguyên)', 'B': 'Vi khuẩn gây bệnh', 'C': 'Virus gây bệnh', 'D': 'Nấm mốc'}",A,Một chất lạ thường vô hại đối với hầu hết mọi người (dị nguyên),Vi khuẩn gây bệnh,Virus gây bệnh,Nấm mốc,A,1
90,"Khi bị điện giật, việc đầu tiên cần làm là gì?","{'A': 'Chạm ngay vào người nạn nhân để kéo ra', 'B': 'Ngắt ngay nguồn điện một cách an toàn (dập cầu dao, rút phích cắm)', 'C': 'Đổ nước lên người nạn nhân', 'D': 'Gọi xe cấp cứu và chờ đợi'}",B,Chạm ngay vào người nạn nhân để kéo ra,"Ngắt ngay nguồn điện một cách an toàn (dập cầu dao, rút phích cắm)",Đổ nước lên người nạn nhân,Gọi xe cấp cứu và chờ đợi,B,1
91,"Trong các nhóm thực phẩm, nhóm nào nên được tiêu thụ với số lượng hạn chế nhất theo tháp dinh dưỡng?","{'A': 'Rau và trái cây', 'B': 'Ngũ cốc', 'C': 'Dầu mỡ, đường, muối', 'D': 'Thịt, cá, trứng, sữa'}",C,Rau và trái cây,Ngũ cốc,"Dầu mỡ, đường, muối","Thịt, cá, trứng, sữa",C,1
92,Tình trạng nào sau đây KHÔNG phải là một rối loạn giấc ngủ?,"{'A': 'Mất ngủ', 'B': 'Ngưng thở khi ngủ', 'C': 'Mộng du', 'D': 'Nằm mơ'}",D,Mất ngủ,Ngưng thở khi ngủ,Mộng du,Nằm mơ,B,0
93,Magie là khoáng chất cần thiết cho chức năng nào của cơ thể?,"{'A': 'Chức năng cơ và thần kinh', 'B': 'Điều hòa đường huyết', 'C': 'Duy trì huyết áp ổn định', 'D': 'Tất cả các đáp án trên'}",D,Chức năng cơ và thần kinh,Điều hòa đường huyết,Duy trì huyết áp ổn định,Tất cả các đáp án trên,A,0
94,Tập yoga mang lại lợi ích nào cho sức khỏe?,"{'A': 'Tăng sự dẻo dai và linh hoạt', 'B': 'Giảm căng thẳng', 'C': 'Cải thiện thăng bằng', 'D': 'Tất cả các đáp án trên'}",D,Tăng sự dẻo dai và linh hoạt,Giảm căng thẳng,Cải thiện thăng bằng,Tất cả các đáp án trên,A,0
95,Đâu là triệu chứng của bệnh hen suyễn (hen phế quản)?,"{'A': 'Khó thở', 'B': 'Ho', 'C': 'Khò khè', 'D': 'Tất cả các đáp án trên'}",D,Khó thở,Ho,Khò khè,Tất cả các đáp án trên,D,1
96,Kinh nguyệt là một hiện tượng sinh lý bình thường ở:,"{'A': 'Nam giới tuổi dậy thì', 'B': 'Nữ giới tuổi dậy thì', 'C': 'Cả nam và nữ', 'D': 'Người cao tuổi'}",B,Nam giới tuổi dậy thì,Nữ giới tuổi dậy thì,Cả nam và nữ,Người cao tuổi,D,0
97,Bệnh loãng xương làm cho xương trở nên:,"{'A': 'Cứng và đặc hơn', 'B': 'Giòn, yếu và dễ gãy', 'C': 'Dài ra nhanh chóng', 'D': 'Không thay đổi'}",B,Cứng và đặc hơn,"Giòn, yếu và dễ gãy",Dài ra nhanh chóng,Không thay đổi,D,0
98,Probiotics (lợi khuẩn) thường được tìm thấy trong thực phẩm nào?,"{'A': 'Nước ngọt có ga', 'B': 'Sữa chua, kim chi', 'C': 'Bánh mì trắng', 'D': 'Khoai tây chiên'}",B,Nước ngọt có ga,"Sữa chua, kim chi",Bánh mì trắng,Khoai tây chiên,D,0
99,Sự khác biệt chính giữa cảm lạnh và cảm cúm là gì?,"{'A': 'Không có sự khác biệt nào', 'B': 'Cảm lạnh do vi khuẩn gây ra, cảm cúm do virus gây ra', 'C': 'Cảm cúm thường có triệu chứng nặng hơn, khởi phát đột ngột và có thể kèm theo sốt cao, đau nhức cơ thể', 'D': 'Cảm lạnh luôn kéo dài hơn cảm cúm'}",C,Không có sự khác biệt nào,"Cảm lạnh do vi khuẩn gây ra, cảm cúm do virus gây ra","Cảm cúm thường có triệu chứng nặng hơn, khởi phát đột ngột và có thể kèm theo sốt cao, đau nhức cơ thể",Cảm lạnh luôn kéo dài hơn cảm cúm,A,0
100,Đâu là biện pháp quan trọng để duy trì một trái tim khỏe mạnh?,"{'A': 'Không hút thuốc lá', 'B': 'Kiểm soát huyết áp và cholesterol', 'C': 'Duy trì một lối sống năng động và chế độ ăn uống lành mạnh', 'D': 'Tất cả các đáp án trên'}",D,Không hút thuốc lá,Kiểm soát huyết áp và cholesterol,Duy trì một lối sống năng động và chế độ ăn uống lành mạnh,Tất cả các đáp án trên,C,0
1,Quốc gia nào có diện tích lớn nhất thế giới?,"{'A': 'Trung Quốc', 'B': 'Hoa Kỳ', 'C': 'Canada', 'D': 'Nga'}",D,Trung Quốc,Hoa Kỳ,Canada,Nga,A,0
2,Dãy núi nào được coi là 'nóc nhà của thế giới'?,"{'A': 'Andes', 'B': 'Alps', 'C': 'Himalaya', 'D': 'Rocky'}",C,Andes,Alps,Himalaya,Rocky,B,0
3,Thủ đô của Úc là gì?,"{'A': 'Sydney', 'B': 'Melbourne', 'C': 'Canberra', 'D': 'Perth'}",C,Sydney,Melbourne,Canberra,Perth,C,1
4,Sông nào dài nhất thế giới?,"{'A': 'Sông Nile', 'B': 'Sông Amazon', 'C': 'Sông Mississippi', 'D': 'Sông Dương Tử'}",A,Sông Nile,Sông Amazon,Sông Mississippi,Sông Dương Tử,D,0
5,Kim tự tháp Giza nằm ở quốc gia nào?,"{'A': 'Hy Lạp', 'B': 'Ai Cập', 'C': 'Ý', 'D': 'Thổ Nhĩ Kỳ'}",B,Hy Lạp,Ai Cập,Ý,Thổ Nhĩ Kỳ,D,0
6,Thành phố nào được mệnh danh là 'Thành phố tình yêu'?,"{'A': 'Rome', 'B': 'Venice', 'C': 'Paris', 'D': 'Vienna'}",C,Rome,Venice,Paris,Vienna,B,0
7,Eo biển nào nối liền Đại Tây Dương và Thái Bình Dương?,"{'A': 'Eo biển Gibraltar', 'B': 'Eo biển Bering', 'C': 'Eo biển Malacca', 'D': 'Eo biển Panama'}",D,Eo biển Gibraltar,Eo biển Bering,Eo biển Malacca,Eo biển Panama,C,0
8,"Quốc gia nào có dân số đông nhất thế giới? [16, 17]","{'A': 'Ấn Độ', 'B': 'Trung Quốc', 'C': 'Hoa Kỳ', 'D': 'Indonesia'}",A,Ấn Độ,Trung Quốc,Hoa Kỳ,Indonesia,A,1
9,Sa mạc nào lớn nhất thế giới?,"{'A': 'Sahara', 'B': 'Gobi', 'C': 'Kalahari', 'D': 'Nam Cực'}",D,Sahara,Gobi,Kalahari,Nam Cực,D,1
10,Thủ đô của Nhật Bản là gì? [35],"{'A': 'Kyoto', 'B': 'Osaka', 'C': 'Tokyo', 'D': 'Hiroshima'}",C,Kyoto,Osaka,Tokyo,Hiroshima,A,0
11,Đỉnh núi cao nhất Việt Nam là gì? [3],"{'A': 'Fansipan', 'B': 'Pu Si Lung', 'C': 'Bạch Mộc Lương Tử', 'D': 'Tà Chì Nhù'}",A,Fansipan,Pu Si Lung,Bạch Mộc Lương Tử,Tà Chì Nhù,D,0
12,Đồng bằng sông Cửu Long còn có tên gọi khác là gì?,"{'A': 'Đồng bằng châu thổ sông Hồng', 'B': 'Đồng bằng duyên hải miền Trung', 'C': 'Đồng bằng Tây Nam Bộ', 'D': 'Đồng bằng Đông Nam Bộ'}",C,Đồng bằng châu thổ sông Hồng,Đồng bằng duyên hải miền Trung,Đồng bằng Tây Nam Bộ,Đồng bằng Đông Nam Bộ,A,0
13,Vịnh nào của Việt Nam được UNESCO công nhận là Di sản Thiên nhiên Thế giới?,"{'A': 'Vịnh Nha Trang', 'B': 'Vịnh Lăng Cô', 'C': 'Vịnh Hạ Long', 'D': 'Vịnh Vĩnh Hy'}",C,Vịnh Nha Trang,Vịnh Lăng Cô,Vịnh Hạ Long,Vịnh Vĩnh Hy,A,0
14,Hồ tự nhiên lớn nhất Việt Nam là gì?,"{'A': 'Hồ Tây', 'B': 'Hồ Ba Bể', 'C': 'Hồ Tuyền Lâm', 'D': 'Hồ Lắk'}",B,Hồ Tây,Hồ Ba Bể,Hồ Tuyền Lâm,Hồ Lắk,C,0
15,Quần đảo nào xa nhất của Việt Nam về phía Đông?,"{'A': 'Hoàng Sa', 'B': 'Trường Sa', 'C': 'Côn Đảo', 'D': 'Phú Quốc'}",B,Hoàng Sa,Trường Sa,Côn Đảo,Phú Quốc,C,0
16,Tỉnh nào có diện tích lớn nhất Việt Nam?,"{'A': 'Thanh Hóa', 'B': 'Sơn La', 'C': 'Nghệ An', 'D': 'Gia Lai'}",C,Thanh Hóa,Sơn La,Nghệ An,Gia Lai,A,0
17,Thành phố nào là trung tâm kinh tế lớn nhất của Việt Nam?,"{'A': 'Hà Nội', 'B': 'Đà Nẵng', 'C': 'Thành phố Hồ Chí Minh', 'D': 'Hải Phòng'}",C,Hà Nội,Đà Nẵng,Thành phố Hồ Chí Minh,Hải Phòng,C,1
18,Việt Nam có đường biên giới trên đất liền với những quốc gia nào? [12],"{'A': 'Trung Quốc, Lào, Thái Lan', 'B': 'Trung Quốc, Lào, Campuchia', 'C': 'Lào, Campuchia, Thái Lan', 'D': 'Trung Quốc, Campuchia, Myanmar'}",B,"Trung Quốc, Lào, Thái Lan","Trung Quốc, Lào, Campuchia","Lào, Campuchia, Thái Lan","Trung Quốc, Campuchia, Myanmar",A,0
19,Loại khoáng sản nào có trữ lượng lớn ở vùng biển Việt Nam? [15],"{'A': 'Than đá', 'B': 'Bô-xít', 'C': 'Dầu khí', 'D': 'Sắt'}",C,Than đá,Bô-xít,Dầu khí,Sắt,A,0
20,Dân tộc nào có dân số đông nhất ở Việt Nam?,"{'A': 'Tày', 'B': 'Thái', 'C': 'Kinh', 'D': 'Mường'}",C,Tày,Thái,Kinh,Mường,B,0
21,Đại dương nào lớn nhất thế giới?,"{'A': 'Đại Tây Dương', 'B': 'Ấn Độ Dương', 'C': 'Thái Bình Dương', 'D': 'Bắc Băng Dương'}",C,Đại Tây Dương,Ấn Độ Dương,Thái Bình Dương,Bắc Băng Dương,A,0
22,Thác nước cao nhất thế giới là gì?,"{'A': 'Thác Niagara', 'B': 'Thác Victoria', 'C': 'Thác Angel', 'D': 'Thác Iguazu'}",C,Thác Niagara,Thác Victoria,Thác Angel,Thác Iguazu,A,0
23,Thủ đô của Canada là gì?,"{'A': 'Toronto', 'B': 'Vancouver', 'C': 'Montreal', 'D': 'Ottawa'}",D,Toronto,Vancouver,Montreal,Ottawa,C,0
24,Quốc gia nào có hình chiếc ủng?,"{'A': 'Hy Lạp', 'B': 'Ý', 'C': 'Tây Ban Nha', 'D': 'Bồ Đào Nha'}",B,Hy Lạp,Ý,Tây Ban Nha,Bồ Đào Nha,C,0
25,Thành phố Vatican nằm trong quốc gia nào?,"{'A': 'Tây Ban Nha', 'B': 'Pháp', 'C': 'Ý', 'D': 'Thụy Sĩ'}",C,Tây Ban Nha,Pháp,Ý,Thụy Sĩ,A,0
26,Rạn san hô Great Barrier nằm ở ngoài khơi quốc gia nào? [39],"{'A': 'Úc', 'B': 'Indonesia', 'C': 'Philippines', 'D': 'Nhật Bản'}",A,Úc,Indonesia,Philippines,Nhật Bản,D,0
